2020-04-01,Alabama,1,1108,28
2020-04-01,Alaska,2,143,2
2020-04-01,Arizona,4,1413,29
2020-04-01,Arkansas,5,624,10
2020-04-01,California,6,9857,212
2020-04-01,Colorado,8,3346,80
2020-04-01,Connecticut,9,3557,85
2020-04-01,Delaware,10,368,11
2020-04-01,District of Columbia,11,586,11
2020-04-01,Florida,12,7769,100
2020-04-01,Georgia,13,4747,154
2020-04-01,Guam,66,147,3
2020-04-01,Hawaii,15,258,1
2020-04-01,Idaho,16,669,9
2020-04-01,Illinois,17,6978,146
2020-04-01,Indiana,18,2578,80
2020-04-01,Iowa,19,549,9
2020-04-01,Kansas,20,489,11
2020-04-01,Kentucky,21,674,20
2020-04-01,Louisiana,22,6424,275
2020-04-01,Maine,23,344,7
2020-04-01,Maryland,24,1985,33
2020-04-01,Massachusetts,25,7738,122
2020-04-01,Michigan,26,9292,336
2020-04-01,Minnesota,27,689,17
2020-04-01,Mississippi,28,1073,22
2020-04-01,Missouri,29,1580,21
2020-04-01,Montana,30,219,5
2020-04-01,Nebraska,31,249,5
2020-04-01,Nevada,32,1279,32
2020-04-01,New Hampshire,33,415,4
2020-04-01,New Jersey,34,22255,355
2020-04-01,New Mexico,35,363,6
2020-04-01,New York,36,84364,2415
2020-04-01,North Carolina,37,1591,11
2020-04-01,North Dakota,38,147,3
2020-04-01,Northern Mariana Islands,69,6,1
2020-04-01,Ohio,39,2548,65
2020-04-01,Oklahoma,40,719,30
2020-04-01,Oregon,41,737,19
2020-04-01,Pennsylvania,42,5805,78
2020-04-01,Puerto Rico,72,286,11
2020-04-01,Rhode Island,44,566,10
2020-04-01,South Carolina,45,1293,26
2020-04-01,South Dakota,46,129,1
2020-04-01,Tennessee,47,2689,23
2020-04-01,Texas,48,4402,65
2020-04-01,Utah,49,1012,7
2020-04-01,Vermont,50,321,16
2020-04-01,Virgin Islands,78,30,0
2020-04-01,Virginia,51,1511,18
2020-04-01,Washington,53,5589,250
2020-04-01,West Virginia,54,191,2
2020-04-01,Wisconsin,55,1552,33
2020-04-01,Wyoming,56,138,0
